contig	S2753
S2753_000000000003_split_00012	228.4457153935634
S2753_000000000003_split_00013	228.47976629471768
S2753_000000000003_split_00014	229.77280477408354
S2753_000000000003_split_00015	226.488678309735
S2753_000000000003_split_00016	228.04762371867184
S2753_000000000003_split_00017	233.84042933810375
S2753_000000000003_split_00018	229.90417571807868
S2753_000000000003_split_00019	227.30169620735657
S2753_000000000003_split_00020	233.21905065646095
S2753_000000000003_split_00021	228.59243297191853
S2753_000000000003_split_00022	226.62572247072424
S2753_000000000004_split_00001	225.40998551588993
S2753_000000000004_split_00002	228.19087068634443
S2753_000000000004_split_00003	227.09123199688594
S2753_000000000004_split_00004	225.77472800574364
S2753_000000000004_split_00005	228.60478702533024
S2753_000000000004_split_00006	224.90904697467622
S2753_000000000004_split_00007	228.33567687443968
S2753_000000000004_split_00008	242.28906138387543
S2753_000000000004_split_00009	231.72460880552046
S2753_000000000004_split_00010	221.74320547417116
S2753_000000000004_split_00011	229.3924812721173
S2753_000000000004_split_00012	227.60161077904974
S2753_000000000004_split_00013	225.478610280786
S2753_000000000004_split_00014	218.72668352102966
S2753_000000000004_split_00015	231.0146854819421
S2753_000000000004_split_00016	227.52499248722827
S2753_000000000004_split_00017	228.2003088355933
S2753_000000000005_split_00001	230.24758732180473
S2753_000000000005_split_00002	239.9173134479785
S2753_000000000005_split_00003	237.7251788689601
S2753_000000000005_split_00004	240.2832732403198
S2753_000000000005_split_00005	241.45824034946108
S2753_000000000005_split_00006	235.64908256880733
S2753_000000000005_split_00007	237.80514434662862
S2753_000000000005_split_00008	240.25168875367402
S2753_000000000005_split_00009	239.090760346487
S2753_000000000005_split_00010	239.17861512111574
S2753_000000000005_split_00011	240.4137998132005
S2753_000000000005_split_00012	235.22227986605668
S2753_000000000005_split_00013	234.2065554407205
S2753_000000000005_split_00014	231.69119706928132
S2753_000000000005_split_00015	236.01584891335295
S2753_000000000005_split_00016	232.3434514862047
S2753_000000000006_split_00001	225.063480463802
S2753_000000000006_split_00002	223.48858740489504
S2753_000000000006_split_00003	228.13972500929023
S2753_000000000006_split_00004	229.23139390024454
S2753_000000000006_split_00005	227.234510856064
S2753_000000000006_split_00006	229.95178125153134
S2753_000000000006_split_00007	234.07029975292528
S2753_000000000006_split_00008	230.22935572712086
S2753_000000000006_split_00009	224.9404773695157
S2753_000000000006_split_00010	224.89657126664778
S2753_000000000006_split_00011	227.12687916270218
S2753_000000000006_split_00012	225.79973487359152
S2753_000000000006_split_00013	228.32093334608396
S2753_000000000006_split_00014	232.87632508833923
S2753_000000000006_split_00015	231.10427212944126
S2753_000000000007_split_00001	224.41229949620708
S2753_000000000007_split_00002	222.53321459516704
S2753_000000000007_split_00003	222.81276802688006
S2753_000000000007_split_00004	233.93031978841069
S2753_000000000007_split_00005	221.7786132418248
S2753_000000000007_split_00006	226.95357487922706
S2753_000000000007_split_00007	228.1403123596627
S2753_000000000007_split_00008	222.06847680855125
S2753_000000000007_split_00009	225.3347137014315
S2753_000000000007_split_00010	222.77747159777616
S2753_000000000007_split_00011	228.143860011356
S2753_000000000007_split_00012	227.36138167388168
S2753_000000000007_split_00013	225.38137882729637
S2753_000000000007_split_00014	223.52293391578198
S2753_000000000008_split_00001	228.29392661528766
S2753_000000000008_split_00002	226.31245480838757
S2753_000000000008_split_00003	227.01301661264182
S2753_000000000008_split_00004	228.89842723303235
S2753_000000000008_split_00005	231.40887030897122
S2753_000000000008_split_00006	227.40979602912577
S2753_000000000008_split_00007	218.95549981419546
S2753_000000000008_split_00008	225.40524581159022
S2753_000000000008_split_00009	228.44618318744193
S2753_000000000008_split_00010	226.1993914074991
S2753_000000000008_split_00011	221.1378800328677
S2753_000000000008_split_00012	228.6975270698378
S2753_000000000008_split_00013	231.25516736784343
S2753_000000000009_split_00001	228.37504119003907
S2753_000000000009_split_00002	234.92112145621928
